cat,lon,lat
2,-74.08832120000001,40.64698872
4,-74.08274134,40.64698872
1,-74.07716148,40.64698872
2,-74.18317882000001,40.6427957
2,-74.17759896,40.6427957
4,-74.1720191,40.6427957
2,-74.16085938,40.6427957
2,-74.11064064,40.6427957
1,-74.10506078,40.6427957
2,-74.09948092,40.6427957
4,-74.09390106000001,40.6427957
0,-74.08832120000001,40.6427957
0,-74.08274134,40.6427957
0,-74.07716148,40.6427957
2,-74.18875868,40.63860268
2,-74.18317882000001,40.63860268
0,-74.17759896,40.63860268
0,-74.1720191,40.63860268
2,-74.16643924,40.63860268
2,-74.1441198,40.63860268
0,-74.13853994,40.63860268
0,-74.13296008,40.63860268
2,-74.12738022,40.63860268
4,-74.12180036000001,40.63860268
4,-74.1162205,40.63860268
1,-74.11064064,40.63860268
2,-74.10506078,40.63860268
2,-74.09948092,40.63860268
2,-74.09390106000001,40.63860268
0,-74.08832120000001,40.63860268
0,-74.08274134,40.63860268
0,-74.07716148,40.63860268
2,-74.19433854,40.63440966
2,-74.18875868,40.63440966
2,-74.18317882000001,40.63440966
2,-74.17759896,40.63440966
0,-74.1720191,40.63440966
2,-74.16643924,40.63440966
0,-74.16085938,40.63440966
2,-74.15527952000001,40.63440966
0,-74.14969966000001,40.63440966
0,-74.1441198,40.63440966
2,-74.13853994,40.63440966
0,-74.13296008,40.63440966
2,-74.12738022,40.63440966
1,-74.12180036000001,40.63440966
4,-74.1162205,40.63440966
2,-74.11064064,40.63440966
2,-74.10506078,40.63440966
2,-74.09948092,40.63440966
0,-74.09390106000001,40.63440966
0,-74.08832120000001,40.63440966
0,-74.08274134,40.63440966
2,-74.07716148,40.63440966
2,-74.1999184,40.63021664
2,-74.19433854,40.63021664
2,-74.18875868,40.63021664
2,-74.18317882000001,40.63021664
2,-74.17759896,40.63021664
2,-74.1720191,40.63021664
2,-74.16643924,40.63021664
2,-74.16085938,40.63021664
2,-74.15527952000001,40.63021664
2,-74.14969966000001,40.63021664
4,-74.1441198,40.63021664
1,-74.13853994,40.63021664
2,-74.13296008,40.63021664
4,-74.12738022,40.63021664
0,-74.12180036000001,40.63021664
2,-74.1162205,40.63021664
2,-74.11064064,40.63021664
3,-74.10506078,40.63021664
2,-74.09948092,40.63021664
2,-74.09390106000001,40.63021664
2,-74.08832120000001,40.63021664
2,-74.08274134,40.63021664
1,-74.07716148,40.63021664
2,-74.1999184,40.62602362
2,-74.19433854,40.62602362
2,-74.18875868,40.62602362
2,-74.18317882000001,40.62602362
2,-74.17759896,40.62602362
2,-74.1720191,40.62602362
2,-74.16643924,40.62602362
2,-74.16085938,40.62602362
2,-74.15527952000001,40.62602362
2,-74.14969966000001,40.62602362
0,-74.1441198,40.62602362
2,-74.13853994,40.62602362
2,-74.13296008,40.62602362
2,-74.12738022,40.62602362
2,-74.12180036000001,40.62602362
2,-74.1162205,40.62602362
2,-74.11064064,40.62602362
2,-74.10506078,40.62602362
2,-74.09948092,40.62602362
2,-74.09390106000001,40.62602362
2,-74.08832120000001,40.62602362
2,-74.08274134,40.62602362
3,-74.07716148,40.62602362
2,-74.1999184,40.6218306
2,-74.19433854,40.6218306
2,-74.18875868,40.6218306
2,-74.18317882000001,40.6218306
2,-74.17759896,40.6218306
2,-74.1720191,40.6218306
2,-74.16643924,40.6218306
0,-74.16085938,40.6218306
2,-74.15527952000001,40.6218306
2,-74.14969966000001,40.6218306
2,-74.1441198,40.6218306
2,-74.13853994,40.6218306
2,-74.13296008,40.6218306
2,-74.12738022,40.6218306
2,-74.12180036000001,40.6218306
2,-74.1162205,40.6218306
2,-74.11064064,40.6218306
1,-74.10506078,40.6218306
2,-74.09948092,40.6218306
2,-74.09390106000001,40.6218306
2,-74.08832120000001,40.6218306
0,-74.08274134,40.6218306
2,-74.07716148,40.6218306
2,-74.07158162,40.6218306
2,-74.1999184,40.61763758
2,-74.19433854,40.61763758
2,-74.18875868,40.61763758
2,-74.18317882000001,40.61763758
2,-74.17759896,40.61763758
2,-74.1720191,40.61763758
2,-74.16643924,40.61763758
2,-74.16085938,40.61763758
2,-74.15527952000001,40.61763758
2,-74.14969966000001,40.61763758
2,-74.1441198,40.61763758
2,-74.13853994,40.61763758
2,-74.13296008,40.61763758
2,-74.12738022,40.61763758
2,-74.12180036000001,40.61763758
2,-74.1162205,40.61763758
2,-74.11064064,40.61763758
1,-74.10506078,40.61763758
2,-74.09948092,40.61763758
2,-74.09390106000001,40.61763758
2,-74.08832120000001,40.61763758
0,-74.08274134,40.61763758
0,-74.07716148,40.61763758
2,-74.07158162,40.61763758
4,-74.06600176,40.61763758
2,-74.1999184,40.61344456
2,-74.19433854,40.61344456
2,-74.18875868,40.61344456
2,-74.18317882000001,40.61344456
2,-74.17759896,40.61344456
2,-74.1720191,40.61344456
2,-74.16643924,40.61344456
2,-74.16085938,40.61344456
2,-74.15527952000001,40.61344456
2,-74.14969966000001,40.61344456
2,-74.1441198,40.61344456
2,-74.13853994,40.61344456
2,-74.13296008,40.61344456
2,-74.12738022,40.61344456
0,-74.12180036000001,40.61344456
2,-74.1162205,40.61344456
2,-74.11064064,40.61344456
2,-74.10506078,40.61344456
2,-74.09948092,40.61344456
2,-74.09390106000001,40.61344456
2,-74.08832120000001,40.61344456
0,-74.08274134,40.61344456
2,-74.07716148,40.61344456
0,-74.07158162,40.61344456
1,-74.06600176,40.61344456
2,-74.1999184,40.60925154
2,-74.19433854,40.60925154
2,-74.18875868,40.60925154
2,-74.18317882000001,40.60925154
2,-74.17759896,40.60925154
2,-74.1720191,40.60925154
2,-74.16643924,40.60925154
2,-74.16085938,40.60925154
2,-74.15527952000001,40.60925154
2,-74.14969966000001,40.60925154
2,-74.1441198,40.60925154
2,-74.13853994,40.60925154
2,-74.13296008,40.60925154
2,-74.12738022,40.60925154
2,-74.12180036000001,40.60925154
2,-74.1162205,40.60925154
2,-74.11064064,40.60925154
2,-74.10506078,40.60925154
2,-74.09948092,40.60925154
2,-74.09390106000001,40.60925154
2,-74.08832120000001,40.60925154
2,-74.08274134,40.60925154
2,-74.07716148,40.60925154
2,-74.07158162,40.60925154
2,-74.06600176,40.60925154
2,-74.06042190000001,40.60925154
2,-74.1999184,40.60505852
2,-74.19433854,40.60505852
2,-74.18875868,40.60505852
2,-74.18317882000001,40.60505852
2,-74.17759896,40.60505852
2,-74.1720191,40.60505852
2,-74.16643924,40.60505852
2,-74.16085938,40.60505852
2,-74.15527952000001,40.60505852
2,-74.14969966000001,40.60505852
2,-74.1441198,40.60505852
0,-74.13853994,40.60505852
2,-74.13296008,40.60505852
4,-74.12738022,40.60505852
2,-74.12180036000001,40.60505852
2,-74.1162205,40.60505852
2,-74.11064064,40.60505852
2,-74.10506078,40.60505852
2,-74.09948092,40.60505852
2,-74.09390106000001,40.60505852
2,-74.08832120000001,40.60505852
2,-74.08274134,40.60505852
2,-74.07716148,40.60505852
2,-74.07158162,40.60505852
2,-74.06600176,40.60505852
2,-74.06042190000001,40.60505852
2,-74.05484204000001,40.60505852
2,-74.19433854,40.6008655
2,-74.18875868,40.6008655
2,-74.18317882000001,40.6008655
2,-74.17759896,40.6008655
2,-74.1720191,40.6008655
2,-74.16643924,40.6008655
2,-74.16085938,40.6008655
2,-74.15527952000001,40.6008655
2,-74.14969966000001,40.6008655
2,-74.1441198,40.6008655
2,-74.13853994,40.6008655
2,-74.13296008,40.6008655
2,-74.12738022,40.6008655
2,-74.12180036000001,40.6008655
2,-74.1162205,40.6008655
2,-74.11064064,40.6008655
2,-74.10506078,40.6008655
2,-74.09948092,40.6008655
2,-74.09390106000001,40.6008655
2,-74.08832120000001,40.6008655
2,-74.08274134,40.6008655
2,-74.07716148,40.6008655
2,-74.07158162,40.6008655
2,-74.06600176,40.6008655
2,-74.06042190000001,40.6008655
2,-74.05484204000001,40.6008655
2,-74.19433854,40.59667248
2,-74.18875868,40.59667248
2,-74.18317882000001,40.59667248
2,-74.17759896,40.59667248
2,-74.1720191,40.59667248
