lat,lon,2,3,4,5,6
40.7138707146295,-73.99003690662538,1,0,1,4,0
40.70421745079002,-74.00914293425478,1,0,1,4,0
40.76249450483886,-73.9751932073919,1,0,1,1,3
40.78382514305054,-73.98207503387393,1,1,1,1,3
40.60045849926509,-73.9416805815101,1,2,3,3,5
40.76676103043418,-73.98157060707483,1,0,1,1,3
40.630545492179614,-74.10632647377095,1,0,3,3,5
40.796258463078715,-73.94592251007494,0,1,0,2,2
40.75725610975944,-73.98236372876967,1,0,1,1,3
40.76437367333051,-73.96161192078172,1,0,1,1,3
40.773862460763894,-73.9546635506856,0,1,0,1,2
40.76959989598475,-73.95470255465692,0,1,0,1,3
40.88063158105074,-73.90804235877759,0,1,0,2,1
40.770195217168,-73.9851474178228,1,0,1,1,3
40.70574909022401,-74.00834244292587,1,0,1,4,0
40.66026150321047,-73.9598264305932,1,2,3,3,5
40.819713246371144,-73.91959762829876,0,1,0,2,2
40.72426455323991,-73.98485099424886,1,0,1,4,0
40.718260005355845,-74.00169910427552,1,0,1,4,0
40.63090481640443,-73.97487464342417,1,2,3,3,5
40.70589189627768,-74.00718108060579,1,0,1,4,0
40.78124744724778,-73.97972145187168,1,1,1,1,3
40.80414093623946,-73.96661702213072,0,1,0,2,2
40.76373800741136,-73.97582447734358,1,0,1,1,3
40.68497247503125,-73.97982284248046,1,0,3,4,0
40.80792808378624,-73.9498793348714,0,1,0,2,2
40.76453790094347,-73.98227877178805,1,0,1,1,3
40.756249410206856,-73.87870640871489,0,2,2,0,4
40.707774297587385,-74.01297031398366,1,0,1,4,0
40.76957794374569,-73.95471701046942,0,1,0,1,3
40.7640716538889,-73.98479140116575,1,0,1,1,3
40.68518117060759,-73.98036002127849,1,0,3,4,0
40.74533404694086,-73.99270279190817,1,0,1,4,0
40.67869159400306,-73.95682653454413,1,2,3,3,5
40.75894502981831,-73.98984246307847,1,0,1,1,3
40.768687403700035,-73.90692975942224,0,1,0,2,2
40.77888464396025,-73.96023870123724,0,1,0,1,2
40.721401915218465,-73.94780509338736,1,0,1,4,0
40.75758544240214,-73.98212540995675,1,0,1,1,3
40.779602039671225,-73.95551900464217,0,1,0,1,2
40.63940341408408,-73.96693364414357,1,2,3,3,5
40.74533404694086,-73.99270279190817,1,0,1,4,0
40.745427379044806,-73.99287240050906,1,0,1,4,0
40.73282302129394,-73.98750831295419,1,0,1,4,0
40.801741582633525,-73.95694177223025,0,1,0,2,2
40.74037128687132,-73.98945917053004,1,0,1,4,0
40.757945215829565,-73.98354749164302,1,0,1,1,3
40.845515075801316,-73.89131673566543,0,1,0,2,1
40.745427379044806,-73.99287240050906,1,0,1,4,0
40.75889794131932,-73.98579606268117,1,0,1,1,3
40.75894502981831,-73.98984246307847,1,0,1,1,3
40.745669135725294,-73.99935400256342,1,0,1,4,0
40.845515075801316,-73.89131673566543,0,1,0,2,1
40.75046142969427,-73.97467796578248,1,0,1,1,3
40.742221663227966,-73.89934507191111,0,2,2,0,4
40.709874457145254,-73.99148390542949,1,0,1,4,0
40.73655084968185,-73.99280839829854,1,0,1,4,0
40.76249450483886,-73.9751932073919,1,0,1,1,3
40.77069433506261,-73.98215438403281,1,0,1,1,3
40.72929186804476,-73.9781352938455,1,0,1,4,0
40.75743545594138,-73.99025418331779,1,0,1,1,3
40.73453854734101,-73.98802398130617,1,0,1,4,0
40.7309779455853,-73.98284334851826,1,0,1,4,0
40.78744185125688,-73.97725673457006,0,1,0,1,3
40.73692158111684,-73.99717097486221,1,0,1,4,0
40.731316680195704,-73.99415480199184,1,0,1,4,0
40.74436805903719,-74.00393365058683,1,0,1,4,0
40.73545042733816,-74.00045465471577,1,0,1,4,0
40.792436732446184,-73.9643332256153,0,1,0,2,2
40.64846301064495,-74.00682534385149,1,0,3,3,5
40.80415915641741,-73.95554593932184,0,1,0,2,2
40.73437981079364,-73.99386225995117,1,0,1,4,0
40.73448346298247,-73.98632447322385,1,0,1,4,0
40.80964973381244,-73.95153612723345,0,1,0,2,2
40.73717483043475,-73.97828426255131,1,0,1,4,0
40.72902761400304,-73.9954827552344,1,0,1,4,0
40.70569464967948,-73.89652563556413,0,2,2,0,4
40.72618795431117,-73.98038762268973,1,0,1,4,0
40.738617296123714,-73.98847431596921,1,0,1,4,0
40.770195217168,-73.9851474178228,1,0,1,1,3
40.73561213410724,-73.99264973091528,1,0,1,4,0
40.76249450483886,-73.9751932073919,1,0,1,1,3
40.734842047126946,-73.97969227459998,1,0,1,4,0
40.74380430449326,-73.9837386425188,1,0,1,4,3
40.803218922688224,-73.96736517779043,0,1,0,2,2
40.7399517120916,-73.99496237410222,1,0,1,4,0
40.73946543846628,-73.98861490419364,1,0,1,4,0
40.76996422821282,-73.98211486702557,1,0,1,1,3
40.88977589016404,-73.90346537119133,0,1,0,2,1
40.73440705746906,-73.99083849008116,1,0,1,4,0
40.729797041124264,-73.97887478136369,1,0,1,4,0
40.68547773324664,-73.98112072960022,1,0,3,4,0
40.75305097337747,-73.98118820239239,1,0,1,1,3
40.73451135810907,-73.99083847574062,1,0,1,4,0
40.76996422821282,-73.98211486702557,1,0,1,1,3
40.73408238651555,-73.98369410722287,1,0,1,4,0
40.734072008817265,-73.98871324972123,1,0,1,4,0
40.74869882790946,-73.98913664402664,1,0,1,1,3
40.73896026359565,-73.98727260586962,1,0,1,4,0
40.738397632221066,-73.98766604315713,1,0,1,4,0
40.70996781758482,-74.00797866479043,1,0,1,4,0
40.825163361815285,-73.93566633373476,0,1,0,2,2
40.74028037521331,-73.9862799797917,1,0,1,4,0
