lat,lon,2,3,4,5,6
40.82830508448664,-73.92085916575108,1,0,2,3,1
40.858482526672134,-73.86655414779598,1,0,2,3,1
40.76150646817614,-73.9500369998245,1,0,1,0,5
40.67624237756134,-73.96212771653751,0,1,1,2,0
40.864855286806744,-73.90491516580856,1,0,2,3,1
40.747420328856705,-73.87685300997468,1,2,0,1,3
40.668133707374096,-73.98240171289468,0,1,1,2,0
40.61115613969712,-73.97533228278256,0,1,3,4,0
40.660651027919364,-73.93053744800436,0,1,1,2,3
40.84552406374189,-73.88095800927209,1,0,2,3,1
40.82830508448664,-73.92085916575108,1,0,2,3,1
40.64108165113203,-73.95432497790227,0,1,1,2,0
40.67632622776996,-73.93988375529413,0,1,1,2,3
40.824454189289575,-73.88771986853519,1,0,2,3,1
40.780405739980225,-73.98593951782959,1,0,2,0,5
40.62701275833746,-73.95662580149565,0,1,1,2,0
40.709824136558204,-73.80455543495027,0,2,0,1,2
40.84552406374189,-73.88095800927209,1,0,2,3,1
40.780405739980225,-73.98593951782959,1,0,2,0,5
40.65658997605921,-73.91224723093012,0,1,1,2,3
40.69669170112567,-73.90599526223531,0,1,1,2,3
40.794354159862365,-73.94140960170793,1,0,2,0,5
40.71574340619633,-73.83538419841393,0,2,0,1,2
40.62701275833746,-73.95662580149565,0,1,1,2,0
40.84552406374189,-73.88095800927209,1,0,2,3,1
40.57358775088775,-73.99285474116026,0,1,3,4,0
40.65658997605921,-73.91224723093012,0,1,1,2,3
40.8258146156813,-73.94228160488746,1,0,2,0,5
40.68664040439784,-73.87954335806202,0,2,0,2,3
40.6347449187686,-73.96493632865035,0,1,1,2,0
40.651212223653935,-73.936136793523,0,1,1,2,3
40.770396620467004,-73.91298539732755,1,0,2,0,5
40.65874299357544,-73.91745250136022,0,1,1,2,3
40.74157267471363,-73.92261497710001,0,1,1,0,5
40.61852527812288,-74.02745482526103,0,1,3,4,0
40.76422158882514,-73.81564437413068,1,2,0,1,2
40.86509984187298,-73.92804980664533,1,0,2,3,1
40.67145239062224,-73.93642383047874,0,1,1,2,3
40.747420328856705,-73.87685300997468,1,2,0,1,3
40.780405739980225,-73.98593951782959,1,0,2,0,5
40.67632622776996,-73.93988375529413,0,1,1,2,3
40.747420328856705,-73.87685300997468,1,2,0,1,3
40.65658997605921,-73.91224723093012,0,1,1,2,3
40.87277956585497,-73.90204010051565,1,0,2,3,1
40.85414123539392,-73.88245719312344,1,0,2,3,1
40.66315866212477,-73.86693409345021,0,2,0,1,3
40.80727603631234,-73.9145663162936,1,0,2,3,1
40.73282337565429,-74.00862727435947,0,1,1,0,5
40.780405739980225,-73.98593951782959,1,0,2,0,5
40.624884953327665,-74.02748265805853,0,1,3,4,0
